2022-03-15 14:16:08, INFO: Current git head hash code: %s
2022-03-15 14:16:08, INFO: Using device: cpu
2022-03-15 14:16:08, INFO: Policy: SARL w/ global state
2022-03-15 14:16:08, INFO: human number: 5
2022-03-15 14:16:08, INFO: Not randomize human's radius and preferred speed
2022-03-15 14:16:08, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2022-03-15 14:16:08, INFO: Square width: 10.0, circle width: 4.0
2022-03-15 14:16:08, INFO: Current learning rate: 0.010000
2022-03-15 14:17:08, INFO: TRAIN has success rate: 0.89, collision rate: 0.09, nav time: 12.18, total reward: 0.2416
2022-03-15 14:19:39, INFO: Finish imitation learning. Weights saved.
2022-03-15 14:19:39, INFO: Experience set size: 100000/100000
2022-03-15 14:19:39, INFO: Agent is invisible and has holonomic kinematic constraint
2022-03-15 14:19:39, INFO: Current learning rate: 0.001000
2022-03-15 14:23:28, INFO: VAL   in episode 0 has success rate: 0.92, collision rate: 0.08, nav time: 10.16, total reward: 0.2289
2022-03-15 14:23:28, INFO: Frequency of being in danger: 0.23 and average min separate distance in danger: 0.07
2022-03-15 14:23:30, INFO: TRAIN in episode 0 has success rate: 1.00, collision rate: 0.00, nav time: 17.25, total reward: 0.1668
2022-03-15 14:23:32, INFO: TRAIN in episode 1 has success rate: 1.00, collision rate: 0.00, nav time: 19.00, total reward: 0.1387
2022-03-15 14:23:35, INFO: TRAIN in episode 2 has success rate: 1.00, collision rate: 0.00, nav time: 19.25, total reward: 0.1055
2022-03-15 14:23:38, INFO: TRAIN in episode 3 has success rate: 1.00, collision rate: 0.00, nav time: 21.00, total reward: 0.1123
2022-03-15 14:23:41, INFO: TRAIN in episode 4 has success rate: 1.00, collision rate: 0.00, nav time: 18.00, total reward: 0.1541
2022-03-15 14:23:43, INFO: TRAIN in episode 5 has success rate: 1.00, collision rate: 0.00, nav time: 18.50, total reward: 0.1462
2022-03-15 14:23:45, INFO: TRAIN in episode 6 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1260
2022-03-15 14:23:47, INFO: TRAIN in episode 7 has success rate: 1.00, collision rate: 0.00, nav time: 23.50, total reward: 0.0863
2022-03-15 14:23:48, INFO: TRAIN in episode 8 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.2830
2022-03-15 14:23:51, INFO: TRAIN in episode 9 has success rate: 1.00, collision rate: 0.00, nav time: 20.50, total reward: 0.1184
2022-03-15 14:23:52, INFO: TRAIN in episode 10 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1591
2022-03-15 14:23:54, INFO: TRAIN in episode 11 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1338
2022-03-15 14:23:57, INFO: TRAIN in episode 12 has success rate: 1.00, collision rate: 0.00, nav time: 19.25, total reward: 0.1351
2022-03-15 14:23:59, INFO: TRAIN in episode 13 has success rate: 1.00, collision rate: 0.00, nav time: 18.00, total reward: 0.1470
2022-03-15 14:24:00, INFO: TRAIN in episode 14 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.2228
2022-03-15 14:24:01, INFO: TRAIN in episode 15 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1692
2022-03-15 14:24:04, INFO: TRAIN in episode 16 has success rate: 1.00, collision rate: 0.00, nav time: 14.50, total reward: 0.1950
2022-03-15 14:24:07, INFO: TRAIN in episode 17 has success rate: 1.00, collision rate: 0.00, nav time: 16.75, total reward: 0.1758
2022-03-15 14:24:09, INFO: TRAIN in episode 18 has success rate: 1.00, collision rate: 0.00, nav time: 15.00, total reward: 0.2093
2022-03-15 14:24:10, INFO: TRAIN in episode 19 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1402
2022-03-15 14:24:11, INFO: TRAIN in episode 20 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1330
2022-03-15 14:24:14, INFO: TRAIN in episode 21 has success rate: 1.00, collision rate: 0.00, nav time: 18.75, total reward: 0.1424
2022-03-15 14:24:16, INFO: TRAIN in episode 22 has success rate: 1.00, collision rate: 0.00, nav time: 17.50, total reward: 0.1624
2022-03-15 14:24:19, INFO: TRAIN in episode 23 has success rate: 1.00, collision rate: 0.00, nav time: 17.25, total reward: 0.1465
2022-03-15 14:24:20, INFO: TRAIN in episode 24 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1523
2022-03-15 14:24:22, INFO: TRAIN in episode 25 has success rate: 1.00, collision rate: 0.00, nav time: 14.75, total reward: 0.2148
2022-03-15 14:24:26, INFO: TRAIN in episode 26 has success rate: 1.00, collision rate: 0.00, nav time: 18.25, total reward: 0.1501
2022-03-15 14:24:28, INFO: TRAIN in episode 27 has success rate: 1.00, collision rate: 0.00, nav time: 17.00, total reward: 0.1712
2022-03-15 14:24:31, INFO: TRAIN in episode 28 has success rate: 1.00, collision rate: 0.00, nav time: 16.50, total reward: 0.1805
2022-03-15 14:24:33, INFO: TRAIN in episode 29 has success rate: 1.00, collision rate: 0.00, nav time: 23.00, total reward: 0.0910
2022-03-15 14:24:36, INFO: TRAIN in episode 30 has success rate: 1.00, collision rate: 0.00, nav time: 20.25, total reward: 0.0837
